run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394510,RCN18675,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14394510/ERR14394510_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14394510/ERR14394510_2.fastq.gz
ERR14394511,RCN18675,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394511/ERR14394511_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14394511/ERR14394511_2.fastq.gz
ERR14394555,RCN18691,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14394555/ERR14394555_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14394555/ERR14394555_2.fastq.gz
ERR14394557,RCN18691,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394557/ERR14394557_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14394557/ERR14394557_2.fastq.gz
ERR14394576,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394576/ERR14394576_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14394576/ERR14394576_2.fastq.gz
ERR14394577,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14394577/ERR14394577_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14394577/ERR14394577_2.fastq.gz
ERR14394578,RCN18698,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394578/ERR14394578_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14394578/ERR14394578_2.fastq.gz
ERR15627375,RCN18664,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/075/ERR15627375/ERR15627375_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/075/ERR15627375/ERR15627375_2.fastq.gz
ERR15627382,RCN18672,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/082/ERR15627382/ERR15627382_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/082/ERR15627382/ERR15627382_2.fastq.gz
ERR15627384,RCN18675,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/084/ERR15627384/ERR15627384_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/084/ERR15627384/ERR15627384_2.fastq.gz
ERR15627397,RCN18691,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/097/ERR15627397/ERR15627397_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/097/ERR15627397/ERR15627397_2.fastq.gz
ERR14394660,RCN18728,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394660/ERR14394660_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14394660/ERR14394660_2.fastq.gz
ERR14394666,RCN18730,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14394666/ERR14394666_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14394666/ERR14394666_2.fastq.gz
ERR14394679,RCN18734,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14394679/ERR14394679_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14394679/ERR14394679_2.fastq.gz
