sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN13558,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626085,ERR14390715,ERR14390716,ERR14390717
RCN13561,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626088,ERR14390724,ERR14390725,ERR14390726
RCN13562,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626089,ERR14390727,ERR14390728,ERR14390729
RCN13564,Laos,AmpSeqV1,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,ERR15626091,ERR14390733,ERR14390734,ERR14390735
RCN13567,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626094,ERR14390742,ERR14390743,ERR14390744
RCN13568,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626095,ERR14390745,ERR14390746,ERR14390747
RCN13570,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626097,ERR14390751,ERR14390752,ERR14390753
RCN13580,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626106,ERR14390778,ERR14390779,ERR14390780
RCN13581,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626107,ERR14390781,ERR14390782,ERR14390783
RCN14197,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626357,ERR14390880,ERR14390881,ERR14390882
RCN14210,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626358,ERR14390919,ERR14390920,ERR14390921
RCN14217,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626359,ERR14390940,ERR14390941,ERR14390942
RCN14220,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626360,ERR14390949,ERR14390950,ERR14390951
RCN14222,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626361,ERR14390955,ERR14390956,ERR14390957
RCN14223,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626362,ERR14390958,ERR14390959,ERR14390960
RCN14226,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626364,ERR14390967,ERR14390968,ERR14390969
RCN14233,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626365,ERR14390988,ERR14390989,ERR14390990
RCN14234,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626366,ERR14390991,ERR14390992,ERR14390993
RCN14238,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626367,ERR14391000,ERR14391001,ERR14391002
RCN14239,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626368,ERR14391003,ERR14391004,ERR14391005
RCN14241,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626369,ERR14391009,ERR14391010,ERR14391011
RCN14251,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15626371,ERR14391036,ERR14391037,ERR14391038
RCN14255,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15626373,ERR14391048,ERR14391049,ERR14391050
RCN14265,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626377,ERR14391078,ERR14391079,ERR14391080
RCN14270,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626380,ERR14391093,ERR14391094,ERR14391095
RCN14271,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626381,ERR14391096,ERR14391097,ERR14391098
RCN14277,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626385,ERR14391114,ERR14391115,ERR14391116
RCN14278,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626386,ERR14391117,ERR14391118,ERR14391119
RCN14279,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626387,ERR14391120,ERR14391121,ERR14391122
RCN14280,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626388,ERR14391123,ERR14391124,ERR14391125
RCN14281,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626389,ERR14391126,ERR14391127,ERR14391128
RCN14284,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626390,ERR14391135,ERR14391136,ERR14391137
RCN14285,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626391,ERR14391138,ERR14391139,ERR14391140
RCN14286,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626392,ERR14391141,ERR14391142,ERR14391143
RCN14288,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626394,ERR14391147,ERR14391148,ERR14391149
RCN14289,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626395,ERR14391150,ERR14391151,ERR14391152
RCN14292,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626397,ERR14391159,ERR14391160,ERR14391161
RCN14293,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626398,ERR14391162,ERR14391163,ERR14391164
RCN14294,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626399,ERR14391165,ERR14391166,ERR14391167
RCN14296,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626401,ERR14391171,ERR14391172,ERR14391173
RCN14302,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626405,ERR14391186,ERR14391187,ERR14391188
RCN14303,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626406,ERR14391189,ERR14391190,ERR14391191
RCN14304,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626407,ERR14391192,ERR14391193,ERR14391194
RCN14309,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626409,ERR14391207,ERR14391208,ERR14391209
RCN14310,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626410,ERR14391210,ERR14391211,ERR14391212
RCN14312,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626412,ERR14391216,ERR14391217,ERR14391218
RCN14317,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626415,ERR14391231,ERR14391232,ERR14391233
RCN14318,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626416,ERR14391234,ERR14391235,ERR14391236
RCN14319,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626417,ERR14391237,ERR14391238,ERR14391239
RCN14320,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626418,ERR14391240,ERR14391241,ERR14391242
RCN14321,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626419,ERR14391243,ERR14391244,ERR14391245
RCN14324,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626420,ERR14391252,ERR14391253,ERR14391254
RCN14574,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,ERR15626424,ERR14391264,ERR14391265,ERR14391266
RCN14575,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626425,ERR14391267,ERR14391268,ERR14391269
RCN14576,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626426,ERR14391270,ERR14391271,ERR14391272
RCN14577,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626427,ERR14391273,ERR14391274,ERR14391275
RCN14580,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626429,ERR14391279,ERR14391280,ERR14391281
RCN14581,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626430,ERR14391282,ERR14391283,ERR14391284
RCN14587,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626436,ERR14391300,ERR14391301,ERR14391302
RCN14588,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626437,ERR14391303,ERR14391304,ERR14391305
RCN14589,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626438,ERR14391306,ERR14391307,ERR14391308
RCN14590,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626439,ERR14391309,ERR14391310,ERR14391311
RCN14591,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626440,ERR14391312,ERR14391313,ERR14391314
RCN14592,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626441,ERR14391315,ERR14391316,ERR14391317
RCN14593,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626444,ERR14391318,ERR14391319,ERR14391320
RCN14594,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626442,ERR14391321,ERR14391322,ERR14391323
RCN14596,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626445,ERR14391327,ERR14391328,ERR14391329
RCN14600,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626449,ERR14391339,ERR14391340,ERR14391341
RCN14602,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626451,ERR14391345,ERR14391346,ERR14391347
RCN14603,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626452,ERR14391348,ERR14391349,ERR14391350
RCN14604,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626453,ERR14391351,ERR14391352,ERR14391353
RCN14605,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626454,ERR14391354,ERR14391355,ERR14391356
RCN14606,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626455,ERR14391357,ERR14391358,ERR14391359
RCN14608,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626457,ERR14391363,ERR14391364,ERR14391365
RCN14609,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626458,ERR14391366,ERR14391367,ERR14391368
RCN14610,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626459,ERR14391369,ERR14391370,ERR14391371
RCN14611,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626460,ERR14391372,ERR14391373,ERR14391374
RCN14612,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626461,ERR14391375,ERR14391376,ERR14391377
RCN14614,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626463,ERR14391381,ERR14391382,ERR14391383
RCN14616,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626465,ERR14391387,ERR14391388,ERR14391389
RCN14618,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626467,ERR14391393,ERR14391394,ERR14391395
RCN14621,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626470,ERR14391396,ERR14391397,ERR14391398
RCN14622,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626471,ERR14391399,ERR14391400,ERR14391401
RCN14623,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626472,ERR14391402,ERR14391403,ERR14391404
RCN14624,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626473,ERR14391405,ERR14391406,ERR14391407
RCN14625,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626474,ERR14391408,ERR14391409,ERR14391410
RCN14626,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626475,ERR14391411,ERR14391412,ERR14391413
RCN14627,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626476,ERR14391414,ERR14391415,ERR14391416
RCN14628,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626477,ERR14391417,ERR14391418,ERR14391419
RCN14629,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626478,ERR14391420,ERR14391421,ERR14391422
RCN14631,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626480,ERR14391426,ERR14391427,ERR14391428
RCN14633,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626482,ERR14391432,ERR14391433,ERR14391434
RCN14635,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626484,ERR14391438,ERR14391439,ERR14391440
RCN14636,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626485,ERR14391441,ERR14391442,ERR14391443
RCN14638,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626486,ERR14391444,ERR14391445,ERR14391446
RCN14639,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626487,ERR14391447,ERR14391448,ERR14391449
RCN14640,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626488,ERR14391450,ERR14391451,ERR14391452
RCN14643,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626491,ERR14391459,ERR14391460,ERR14391461
RCN14644,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626492,ERR14391462,ERR14391463,ERR14391464
RCN14645,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626493,ERR14391465,ERR14391466,ERR14391467
RCN14648,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626496,ERR14391474,ERR14391475,ERR14391476
RCN14649,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626497,ERR14391477,ERR14391478,ERR14391479
RCN14650,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626498,ERR14391480,ERR14391481,ERR14391482
RCN14651,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626499,ERR14391483,ERR14391484,ERR14391485
RCN14652,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626500,ERR14391486,ERR14391487,ERR14391488
RCN14653,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626501,ERR14391489,ERR14391490,ERR14391491
RCN14654,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626502,ERR14391492,ERR14391493,ERR14391494
RCN14655,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626503,ERR14391495,ERR14391496,ERR14391497
RCN14657,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626505,ERR14391501,ERR14391502,ERR14391503
RCN14658,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626506,ERR14391504,ERR14391505,ERR14391506
RCN14660,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626508,ERR14391510,ERR14391511,ERR14391512
RCN14661,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626509,ERR14391513,ERR14391514,ERR14391515
RCN14662,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626510,ERR14391516,ERR14391517,ERR14391518
RCN14663,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626511,ERR14391519,ERR14391520,ERR14391521
RCN14664,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626512,ERR14391522,ERR14391523,ERR14391524
RCN14666,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626514,ERR14391528,ERR14391529,ERR14391530
RCN14672,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626516,ERR14391543,ERR14391544,ERR14391545
RCN14673,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626517,ERR14391546,ERR14391547,ERR14391548
RCN14674,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626518,ERR14391549,ERR14391550,ERR14391551
RCN14676,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626520,ERR14391555,ERR14391556,ERR14391557
RCN14677,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626521,ERR14391558,ERR14391559,ERR14391560
RCN14680,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626522,ERR14391564,ERR14391565,ERR14391566
RCN14681,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626523,ERR14391567,ERR14391568,ERR14391569
RCN14682,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626524,ERR14391570,ERR14391571,ERR14391572
RCN14683,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626525,ERR14391573,ERR14391574,ERR14391575
RCN14684,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626526,ERR14391576,ERR14391577,ERR14391578
RCN14685,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626527,ERR14391579,ERR14391580,ERR14391581
RCN14688,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626528,ERR14391588,ERR14391589,ERR14391590
RCN14689,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Resistant,Sensitive,Sensitive,ERR15626530,ERR14391591,ERR14391592,ERR14391593
RCN14691,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15626529,ERR14391594,ERR14391595,ERR14391596
RCN14693,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Sensitive,Resistant,Sensitive,Sensitive,ERR15626532,ERR14391600,ERR14391601,ERR14391602
RCN14696,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626533,ERR14391609,ERR14391610,ERR14391611
RCN14697,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626534,ERR14391612,ERR14391613,ERR14391614
RCN14698,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626535,ERR14391615,ERR14391616,ERR14391617
RCN14699,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626536,ERR14391618,ERR14391619,ERR14391620
RCN14700,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626537,ERR14391621,ERR14391622,ERR14391623
RCN14701,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626538,ERR14391624,ERR14391625,ERR14391626
RCN14705,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626539,ERR14391636,ERR14391637,ERR14391638
RCN14706,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626540,ERR14391639,ERR14391640,ERR14391641
RCN14707,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626541,ERR14391642,ERR14391643,ERR14391644
RCN14708,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626542,ERR14391645,ERR14391646,ERR14391647
RCN14709,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626543,ERR14391648,ERR14391649,ERR14391650
RCN14713,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626545,ERR14391660,ERR14391661,ERR14391662
RCN14714,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626546,ERR14391663,ERR14391664,ERR14391665
RCN14715,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626547,ERR14391666,ERR14391667,ERR14391668
RCN14717,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626549,ERR14391672,ERR14391673,ERR14391674
RCN14721,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626552,ERR14391684,ERR14391685,ERR14391686
RCN14724,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626555,ERR14391693,ERR14391694,ERR14391695
RCN14725,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626556,ERR14391696,ERR14391697,ERR14391698
RCN14727,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626557,ERR14391702,ERR14391703,ERR14391704
RCN14728,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626558,ERR14391705,ERR14391706,ERR14391707
