sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN12112,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625362,ERR14388837,ERR14388838,ERR14388839
RCN12115,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625364,ERR14388843,ERR14388844,ERR14388845
RCN12116,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625365,ERR14388846,ERR14388847,ERR14388848
RCN12676,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625537,ERR14389308,ERR14389309,ERR14389310
RCN12688,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625541,ERR14389341,ERR14389342,ERR14389343
RCN12689,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625542,ERR14389344,ERR14389345,ERR14389346
RCN12693,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625543,ERR14389356,ERR14389357,ERR14389358
RCN12694,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625544,ERR14389359,ERR14389360,ERR14389361
RCN12696,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625545,ERR14389365,ERR14389366,ERR14389367
RCN12698,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625546,ERR14389371,ERR14389372,ERR14389373
RCN12700,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625547,ERR14389377,ERR14389378,ERR14389379
RCN12704,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625548,ERR14389389,ERR14389390,ERR14389391
RCN12710,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625550,ERR14389407,ERR14389408,ERR14389409
RCN12712,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625551,ERR14389413,ERR14389414,ERR14389415
RCN12716,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625553,ERR14389425,ERR14389426,ERR14389427
RCN12720,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625555,ERR14389434,ERR14389435,ERR14389436
RCN12722,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625556,ERR14389440,ERR14389441,ERR14389442
RCN12725,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625558,ERR14389449,ERR14389450,ERR14389451
RCN12726,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625559,ERR14389452,ERR14389453,ERR14389454
RCN12732,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625561,ERR14389470,ERR14389471,ERR14389472
RCN12733,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625562,ERR14389473,ERR14389474,ERR14389475
RCN12734,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625563,ERR14389476,ERR14389477,ERR14389478
RCN12736,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625564,ERR14389482,ERR14389483,ERR14389484
RCN12737,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625565,ERR14389485,ERR14389486,ERR14389487
RCN12738,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625566,ERR14389488,ERR14389489,ERR14389490
RCN12740,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625567,ERR14389494,ERR14389495,ERR14389496
RCN12741,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625568,ERR14389497,ERR14389498,ERR14389499
RCN12742,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625569,ERR14389500,ERR14389501,ERR14389502
RCN12744,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625570,ERR14389506,ERR14389507,ERR14389508
RCN12745,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625571,ERR14389509,ERR14389510,ERR14389511
RCN12746,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625572,ERR14389512,ERR14389513,ERR14389514
RCN12749,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625574,ERR14389515,ERR14389516,ERR14389517
RCN12750,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625575,ERR14389518,ERR14389519,ERR14389520
RCN12751,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625576,ERR14389521,ERR14389522,ERR14389523
RCN12752,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625577,ERR14389524,ERR14389525,ERR14389526
RCN13263,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625809,ERR14389884,ERR14389885,ERR14389886
RCN13265,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625811,ERR14389890,ERR14389891,ERR14389892
RCN13267,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625813,ERR14389896,ERR14389897,ERR14389898
RCN13270,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625816,ERR14389905,ERR14389906,ERR14389907
RCN13271,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625817,ERR14389908,ERR14389909,ERR14389910
RCN13273,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625819,ERR14389914,ERR14389915,ERR14389916
RCN13274,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625820,ERR14389917,ERR14389918,ERR14389919
RCN13275,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625821,ERR14389920,ERR14389921,ERR14389922
RCN13278,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625824,ERR14389929,ERR14389930,ERR14389931
RCN13279,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Sensitive,Sensitive,Sensitive,ERR15625825,ERR14389932,ERR14389933,ERR14389934
