run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14394863,RCN24833,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394863/ERR14394863_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/063/ERR14394863/ERR14394863_2.fastq.gz
ERR14394921,RCN24857,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394921/ERR14394921_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14394921/ERR14394921_2.fastq.gz
ERR14394923,RCN24857,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14394923/ERR14394923_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14394923/ERR14394923_2.fastq.gz
ERR14395000,RCN24885,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14395000/ERR14395000_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14395000/ERR14395000_2.fastq.gz
ERR14395001,RCN24885,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14395001/ERR14395001_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14395001/ERR14395001_2.fastq.gz
ERR14395012,RCN24889,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14395012/ERR14395012_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14395012/ERR14395012_2.fastq.gz
ERR14395013,RCN24889,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14395013/ERR14395013_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14395013/ERR14395013_2.fastq.gz
ERR15628026,RCN24807,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15628026/ERR15628026_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/026/ERR15628026/ERR15628026_2.fastq.gz
ERR15628028,RCN24809,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/028/ERR15628028/ERR15628028_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/028/ERR15628028/ERR15628028_2.fastq.gz
ERR15628038,RCN24819,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/038/ERR15628038/ERR15628038_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/038/ERR15628038/ERR15628038_2.fastq.gz
ERR15628046,RCN24827,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15628046/ERR15628046_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/046/ERR15628046/ERR15628046_2.fastq.gz
ERR15628052,RCN24833,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15628052/ERR15628052_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15628052/ERR15628052_2.fastq.gz
ERR14394801,RCN24813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14394801/ERR14394801_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14394801/ERR14394801_2.fastq.gz
