file,count
ERR14389501_1.fastq.gz,36065
ERR14389502_1.fastq.gz,1356
ERR14389506_1.fastq.gz,36272
ERR14389507_1.fastq.gz,31734
ERR14389508_1.fastq.gz,876
ERR14389509_1.fastq.gz,28391
ERR14389510_1.fastq.gz,29257
ERR14389511_1.fastq.gz,1266
ERR14389512_1.fastq.gz,30521
ERR14389513_1.fastq.gz,32900
ERR14389514_1.fastq.gz,941
ERR14389515_1.fastq.gz,31870
ERR14389516_1.fastq.gz,36151
ERR14389517_1.fastq.gz,1212
ERR14389518_1.fastq.gz,27411
ERR14389519_1.fastq.gz,29720
ERR14389520_1.fastq.gz,1304
ERR14389521_1.fastq.gz,24899
ERR14389522_1.fastq.gz,27969
ERR14389523_1.fastq.gz,1082
ERR14389524_1.fastq.gz,27576
ERR14389525_1.fastq.gz,30830
ERR14389526_1.fastq.gz,935
ERR14389884_1.fastq.gz,34205
ERR14389885_1.fastq.gz,30428
ERR14389886_1.fastq.gz,366
ERR14389890_1.fastq.gz,38991
ERR14389891_1.fastq.gz,32666
ERR14389892_1.fastq.gz,1427
ERR14389896_1.fastq.gz,16336
ERR14389897_1.fastq.gz,30586
ERR14389898_1.fastq.gz,358
ERR14389905_1.fastq.gz,37530
ERR14389906_1.fastq.gz,31287
ERR14389907_1.fastq.gz,1494
ERR14389908_1.fastq.gz,43872
ERR14389909_1.fastq.gz,38389
ERR14389910_1.fastq.gz,868
ERR14389914_1.fastq.gz,62010
ERR14389915_1.fastq.gz,55566
ERR14389916_1.fastq.gz,736
ERR14389917_1.fastq.gz,24799
ERR14389918_1.fastq.gz,34616
ERR14389919_1.fastq.gz,987
ERR14389920_1.fastq.gz,26810
ERR14389921_1.fastq.gz,35797
ERR14389922_1.fastq.gz,252
ERR14389929_1.fastq.gz,41507
ERR14389930_1.fastq.gz,40263
ERR14389931_1.fastq.gz,192
ERR14389932_1.fastq.gz,37955
ERR14389933_1.fastq.gz,33235
ERR14389934_1.fastq.gz,907
ERR14389935_1.fastq.gz,43849
ERR14389936_1.fastq.gz,36635
ERR14389937_1.fastq.gz,982
ERR14389938_1.fastq.gz,43890
ERR14389939_1.fastq.gz,34576
ERR14389940_1.fastq.gz,852
ERR14389944_1.fastq.gz,23016
ERR14389945_1.fastq.gz,35855
ERR14389946_1.fastq.gz,776
