sample,sample_accession,library_name,experiment_accession,run_accession
RCN15293,SAMEA117705249,RCN15293_GRC2,ERX13794208,ERR14393089
RCN15293,SAMEA117705249,RCN15293_SPEC,ERX13794209,ERR14393090
RCN15297,SAMEA117705253,RCN15297_GRC1,ERX13794219,ERR14393100
RCN15297,SAMEA117705253,RCN15297_GRC2,ERX13794220,ERR14393101
RCN15297,SAMEA117705253,RCN15297_SPEC,ERX13794221,ERR14393102
RCN15299,SAMEA117705255,RCN15299_GRC1,ERX13794225,ERR14393106
RCN15299,SAMEA117705255,RCN15299_GRC2,ERX13794226,ERR14393107
RCN15299,SAMEA117705255,RCN15299_SPEC,ERX13794227,ERR14393108
RCN15307,SAMEA117705263,RCN15307_GRC1,ERX13794249,ERR14393130
RCN15307,SAMEA117705263,RCN15307_GRC2,ERX13794250,ERR14393131
RCN15307,SAMEA117705263,RCN15307_SPEC,ERX13794251,ERR14393132
RCN15347,SAMEA117705300,RCN15347_GRC1,ERX13794360,ERR14393241
RCN15347,SAMEA117705300,RCN15347_GRC2,ERX13794361,ERR14393242
RCN15347,SAMEA117705300,RCN15347_SPEC,ERX13794362,ERR14393243
RCN15351,SAMEA117705304,RCN15351_GRC1,ERX13794372,ERR14393253
RCN15351,SAMEA117705304,RCN15351_GRC2,ERX13794373,ERR14393254
RCN15351,SAMEA117705304,RCN15351_SPEC,ERX13794374,ERR14393255
RCN16011,SAMEA117705505,RCN16011_GRC1,ERX13794975,ERR14393856
RCN16011,SAMEA117705505,RCN16011_GRC2,ERX13794976,ERR14393857
RCN16011,SAMEA117705505,RCN16011_SPEC,ERX13794977,ERR14393858
RCN18593,SAMEA117705651,RCN18593_GRC1,ERX13795413,ERR14394294
RCN18593,SAMEA117705651,RCN18593_GRC2,ERX13795414,ERR14394295
RCN18593,SAMEA117705651,RCN18593_SPEC,ERX13795415,ERR14394296
RCN18714,SAMEA117705760,RCN18714_GRC1,ERX13795740,ERR14394621
RCN18714,SAMEA117705760,RCN18714_GRC2,ERX13795741,ERR14394622
RCN18714,SAMEA117705760,RCN18714_SPEC,ERX13795742,ERR14394623
RCN18717,SAMEA117705763,RCN18717_GRC1,ERX13795749,ERR14394630
RCN18717,SAMEA117705763,RCN18717_GRC2,ERX13795750,ERR14394631
RCN18717,SAMEA117705763,RCN18717_SPEC,ERX13795751,ERR14394632
RCN24791,SAMEA117705798,RCN24791_GRC1,ERX13795854,ERR14394735
RCN24791,SAMEA117705798,RCN24791_GRC2,ERX13795855,ERR14394736
RCN24791,SAMEA117705798,RCN24791_SPEC,ERX13795856,ERR14394737
RCN24794,SAMEA117705801,RCN24794_GRC1,ERX13795863,ERR14394744
RCN24794,SAMEA117705801,RCN24794_GRC2,ERX13795864,ERR14394745
RCN24794,SAMEA117705801,RCN24794_SPEC,ERX13795865,ERR14394746
RCN24918,SAMEA117705917,RCN24918_GRC1,ERX13796211,ERR14395092
RCN24918,SAMEA117705917,RCN24918_GRC2,ERX13796212,ERR14395093
RCN24918,SAMEA117705917,RCN24918_SPEC,ERX13796213,ERR14395094
RCN25190,SAMEA117706174,RCN25190_GRC1,ERX13796982,ERR14395863
RCN25190,SAMEA117706174,RCN25190_GRC2,ERX13796983,ERR14395864
RCN25190,SAMEA117706174,RCN25190_SPEC,ERX13796984,ERR14395865
RCN25319,SAMEA117706277,RCN25319_GRC1,ERX13797291,ERR14396172
RCN25319,SAMEA117706277,RCN25319_GRC2,ERX13797292,ERR14396173
RCN25319,SAMEA117706277,RCN25319_SPEC,ERX13797293,ERR14396174
RCN25946,SAMEA117706419,RCN25946_GRC1,ERX13797717,ERR14396598
RCN25946,SAMEA117706419,RCN25946_GRC2,ERX13797718,ERR14396599
RCN25946,SAMEA117706419,RCN25946_SPEC,ERX13797719,ERR14396600
RCN26663,SAMEA117706659,RCN26663_GRC1,ERX13798437,ERR14397318
RCN26663,SAMEA117706659,RCN26663_GRC2,ERX13798438,ERR14397319
RCN26663,SAMEA117706659,RCN26663_SPEC,ERX13798439,ERR14397320
RCN26735,SAMEA117706716,RCN26735_GRC1,ERX13798608,ERR14397489
RCN26735,SAMEA117706716,RCN26735_GRC2,ERX13798609,ERR14397490
RCN26735,SAMEA117706716,RCN26735_SPEC,ERX13798610,ERR14397491
