sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,S-P,S-P-IPTp,INSDC_Pf8,INSDC_Pf8_readcount,INSDC_GenRe_GRC1,INSDC_GenRe_GRC1_readcount,INSDC_GenRe_GRC2,INSDC_GenRe_GRC2_readcount,INSDC_GenRe_SPEC,INSDC_GenRe_SPEC_readcount,GenRe_GRC1_ENA_FASTQ_FTP_1,GenRe_GRC2_ENA_FASTQ_FTP_1,GenRe_SPEC_ENA_FASTQ_FTP_1,Pf8_ENA_FASTQ_FTP_1,GenRe_GRC1_ENA_FASTQ_FTP_2,GenRe_GRC2_ENA_FASTQ_FTP_2,GenRe_SPEC_ENA_FASTQ_FTP_2,Pf8_ENA_FASTQ_FTP_2
RCN14717,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626549,7769546.0,ERR14391672,33974.0,ERR14391673,31486.0,ERR14391674,1166.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14391672/ERR14391672_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14391673/ERR14391673_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14391674/ERR14391674_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/049/ERR15626549/ERR15626549_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14391672/ERR14391672_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14391673/ERR14391673_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14391674/ERR14391674_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/049/ERR15626549/ERR15626549_2.fastq.gz
RCN14721,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626552,23598695.0,ERR14391684,28915.0,ERR14391685,29498.0,ERR14391686,1052.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14391684/ERR14391684_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/085/ERR14391685/ERR14391685_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14391686/ERR14391686_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15626552/ERR15626552_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/084/ERR14391684/ERR14391684_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/085/ERR14391685/ERR14391685_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/086/ERR14391686/ERR14391686_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15626552/ERR15626552_2.fastq.gz
RCN14724,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626555,11909430.0,ERR14391693,31093.0,ERR14391694,30906.0,ERR14391695,681.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14391693/ERR14391693_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14391694/ERR14391694_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14391695/ERR14391695_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15626555/ERR15626555_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14391693/ERR14391693_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14391694/ERR14391694_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14391695/ERR14391695_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15626555/ERR15626555_2.fastq.gz
RCN14725,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626556,25075221.0,ERR14391696,35309.0,ERR14391697,33314.0,ERR14391698,968.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14391696/ERR14391696_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14391697/ERR14391697_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14391698/ERR14391698_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15626556/ERR15626556_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14391696/ERR14391696_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/097/ERR14391697/ERR14391697_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14391698/ERR14391698_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15626556/ERR15626556_2.fastq.gz
RCN14727,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626557,11305482.0,ERR14391702,25094.0,ERR14391703,28927.0,ERR14391704,1103.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14391702/ERR14391702_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14391703/ERR14391703_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14391704/ERR14391704_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15626557/ERR15626557_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14391702/ERR14391702_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14391703/ERR14391703_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14391704/ERR14391704_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15626557/ERR15626557_2.fastq.gz
RCN14728,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626558,5164517.0,ERR14391705,21617.0,ERR14391706,22932.0,ERR14391707,791.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14391705/ERR14391705_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/006/ERR14391706/ERR14391706_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14391707/ERR14391707_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15626558/ERR15626558_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14391705/ERR14391705_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/006/ERR14391706/ERR14391706_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14391707/ERR14391707_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15626558/ERR15626558_2.fastq.gz
RCN14729,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626559,8752903.0,ERR14391708,28830.0,ERR14391709,28896.0,ERR14391710,871.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14391708/ERR14391708_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14391709/ERR14391709_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14391710/ERR14391710_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15626559/ERR15626559_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14391708/ERR14391708_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14391709/ERR14391709_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14391710/ERR14391710_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15626559/ERR15626559_2.fastq.gz
RCN14730,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626560,8840907.0,ERR14391711,25819.0,ERR14391712,29163.0,ERR14391713,1071.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14391711/ERR14391711_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14391712/ERR14391712_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14391713/ERR14391713_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15626560/ERR15626560_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14391711/ERR14391711_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14391712/ERR14391712_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14391713/ERR14391713_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15626560/ERR15626560_2.fastq.gz
RCN14731,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626561,19374244.0,ERR14391714,31631.0,ERR14391715,30802.0,ERR14391716,685.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14391714/ERR14391714_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14391715/ERR14391715_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14391716/ERR14391716_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15626561/ERR15626561_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14391714/ERR14391714_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14391715/ERR14391715_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14391716/ERR14391716_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15626561/ERR15626561_2.fastq.gz
RCN14732,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626562,10468829.0,ERR14391717,25890.0,ERR14391718,28037.0,ERR14391719,1011.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14391717/ERR14391717_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14391718/ERR14391718_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14391719/ERR14391719_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/062/ERR15626562/ERR15626562_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/017/ERR14391717/ERR14391717_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14391718/ERR14391718_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/019/ERR14391719/ERR14391719_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/062/ERR15626562/ERR15626562_2.fastq.gz
RCN14733,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626563,23426595.0,ERR14391720,32047.0,ERR14391721,35552.0,ERR14391722,1470.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14391720/ERR14391720_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14391721/ERR14391721_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14391722/ERR14391722_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15626563/ERR15626563_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/020/ERR14391720/ERR14391720_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14391721/ERR14391721_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14391722/ERR14391722_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15626563/ERR15626563_2.fastq.gz
RCN14738,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626564,31272342.0,ERR14391735,29043.0,ERR14391736,31153.0,ERR14391737,966.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14391735/ERR14391735_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14391736/ERR14391736_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14391737/ERR14391737_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15626564/ERR15626564_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14391735/ERR14391735_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14391736/ERR14391736_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14391737/ERR14391737_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15626564/ERR15626564_2.fastq.gz
RCN14739,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626565,31420596.0,ERR14391738,36330.0,ERR14391739,38929.0,ERR14391740,1562.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14391738/ERR14391738_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14391739/ERR14391739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/040/ERR14391740/ERR14391740_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/065/ERR15626565/ERR15626565_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14391738/ERR14391738_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14391739/ERR14391739_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/040/ERR14391740/ERR14391740_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/065/ERR15626565/ERR15626565_2.fastq.gz
RCN14740,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15626566,29317433.0,ERR14391741,31802.0,ERR14391742,33797.0,ERR14391743,1085.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/041/ERR14391741/ERR14391741_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14391742/ERR14391742_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14391743/ERR14391743_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15626566/ERR15626566_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/041/ERR14391741/ERR14391741_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/042/ERR14391742/ERR14391742_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14391743/ERR14391743_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15626566/ERR15626566_2.fastq.gz
RCN14741,Vietnam,AmpSeqV2,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined,ERR15626567,10397513.0,ERR14391744,30232.0,ERR14391745,32574.0,ERR14391746,1097.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14391744/ERR14391744_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14391745/ERR14391745_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14391746/ERR14391746_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/067/ERR15626567/ERR15626567_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14391744/ERR14391744_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14391745/ERR14391745_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/046/ERR14391746/ERR14391746_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/067/ERR15626567/ERR15626567_2.fastq.gz
RCN14744,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined,ERR15626568,9825900.0,ERR14391750,24172.0,ERR14391751,26651.0,ERR14391752,907.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14391750/ERR14391750_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14391751/ERR14391751_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14391752/ERR14391752_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/068/ERR15626568/ERR15626568_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14391750/ERR14391750_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/051/ERR14391751/ERR14391751_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/052/ERR14391752/ERR14391752_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/068/ERR15626568/ERR15626568_2.fastq.gz
RCN14746,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626569,16410925.0,ERR14391753,38682.0,ERR14391754,39111.0,ERR14391755,534.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14391753/ERR14391753_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14391754/ERR14391754_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14391755/ERR14391755_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15626569/ERR15626569_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14391753/ERR14391753_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14391754/ERR14391754_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/055/ERR14391755/ERR14391755_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15626569/ERR15626569_2.fastq.gz
RCN14748,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626570,11168593.0,ERR14391756,27629.0,ERR14391757,31495.0,ERR14391758,942.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14391756/ERR14391756_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14391757/ERR14391757_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14391758/ERR14391758_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15626570/ERR15626570_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14391756/ERR14391756_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/057/ERR14391757/ERR14391757_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14391758/ERR14391758_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15626570/ERR15626570_2.fastq.gz
RCN14752,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626572,10243031.0,ERR14391765,24151.0,ERR14391766,26483.0,ERR14391767,920.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14391765/ERR14391765_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14391766/ERR14391766_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14391767/ERR14391767_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15626572/ERR15626572_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14391765/ERR14391765_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/066/ERR14391766/ERR14391766_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/067/ERR14391767/ERR14391767_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/072/ERR15626572/ERR15626572_2.fastq.gz
RCN14753,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626573,25812198.0,ERR14391768,23101.0,ERR14391769,26460.0,ERR14391770,966.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14391768/ERR14391768_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14391769/ERR14391769_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14391770/ERR14391770_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15626573/ERR15626573_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/068/ERR14391768/ERR14391768_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14391769/ERR14391769_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14391770/ERR14391770_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15626573/ERR15626573_2.fastq.gz
RCN14754,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626574,10065647.0,ERR14391771,32424.0,ERR14391772,34077.0,ERR14391773,973.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14391771/ERR14391771_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14391772/ERR14391772_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14391773/ERR14391773_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/074/ERR15626574/ERR15626574_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14391771/ERR14391771_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/072/ERR14391772/ERR14391772_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/073/ERR14391773/ERR14391773_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/074/ERR15626574/ERR15626574_2.fastq.gz
RCN14756,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15626576,11391054.0,ERR14391777,28919.0,ERR14391778,31651.0,ERR14391779,1045.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14391777/ERR14391777_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14391778/ERR14391778_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14391779/ERR14391779_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15626576/ERR15626576_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14391777/ERR14391777_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14391778/ERR14391778_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14391779/ERR14391779_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15626576/ERR15626576_2.fastq.gz
