run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14389756,RCN12854,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14389756/ERR14389756_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14389756/ERR14389756_2.fastq.gz
ERR14389758,RCN12855,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14389758/ERR14389758_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14389758/ERR14389758_2.fastq.gz
ERR14389759,RCN12855,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14389759/ERR14389759_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14389759/ERR14389759_2.fastq.gz
ERR14389800,RCN12873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14389800/ERR14389800_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14389800/ERR14389800_2.fastq.gz
ERR14389801,RCN12873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14389801/ERR14389801_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14389801/ERR14389801_2.fastq.gz
ERR14389802,RCN12873,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14389802/ERR14389802_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/002/ERR14389802/ERR14389802_2.fastq.gz
ERR14390082,RCN13333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14390082/ERR14390082_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14390082/ERR14390082_2.fastq.gz
ERR14390083,RCN13333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14390083/ERR14390083_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14390083/ERR14390083_2.fastq.gz
ERR15625656,RCN12854,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15625656/ERR15625656_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15625656/ERR15625656_2.fastq.gz
ERR15625657,RCN12855,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15625657/ERR15625657_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15625657/ERR15625657_2.fastq.gz
ERR15625873,RCN13333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15625873/ERR15625873_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15625873/ERR15625873_2.fastq.gz
ERR14389776,RCN12862,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14389776/ERR14389776_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14389776/ERR14389776_2.fastq.gz
ERR14389778,RCN12862,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14389778/ERR14389778_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/078/ERR14389778/ERR14389778_2.fastq.gz
ERR15625664,RCN12862,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15625664/ERR15625664_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/064/ERR15625664/ERR15625664_2.fastq.gz
ERR15626013,RCN13481,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/013/ERR15626013/ERR15626013_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/013/ERR15626013/ERR15626013_2.fastq.gz
ERR15626056,RCN13528,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15626056/ERR15626056_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15626056/ERR15626056_2.fastq.gz
ERR14390643,RCN13532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14390643/ERR14390643_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/043/ERR14390643/ERR14390643_2.fastq.gz
ERR14390644,RCN13532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14390644/ERR14390644_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/044/ERR14390644/ERR14390644_2.fastq.gz
ERR14390645,RCN13532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14390645/ERR14390645_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/045/ERR14390645/ERR14390645_2.fastq.gz
ERR14390631,RCN13528,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14390631/ERR14390631_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/031/ERR14390631/ERR14390631_2.fastq.gz
ERR15626060,RCN13532,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15626060/ERR15626060_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15626060/ERR15626060_2.fastq.gz
ERR14390501,RCN13481,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14390501/ERR14390501_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14390501/ERR14390501_2.fastq.gz
ERR14390499,RCN13481,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14390499/ERR14390499_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14390499/ERR14390499_2.fastq.gz
ERR14390500,RCN13481,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14390500/ERR14390500_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/000/ERR14390500/ERR14390500_2.fastq.gz
ERR14390559,RCN13501,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14390559/ERR14390559_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/059/ERR14390559/ERR14390559_2.fastq.gz
ERR14390560,RCN13501,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14390560/ERR14390560_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/060/ERR14390560/ERR14390560_2.fastq.gz
ERR14390561,RCN13501,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14390561/ERR14390561_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14390561/ERR14390561_2.fastq.gz
ERR14390632,RCN13528,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14390632/ERR14390632_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/032/ERR14390632/ERR14390632_2.fastq.gz
ERR14390633,RCN13528,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14390633/ERR14390633_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14390633/ERR14390633_2.fastq.gz
ERR15626033,RCN13501,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/033/ERR15626033/ERR15626033_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/033/ERR15626033/ERR15626033_2.fastq.gz
ERR14390721,RCN13560,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14390721/ERR14390721_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14390721/ERR14390721_2.fastq.gz
ERR14390722,RCN13560,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14390722/ERR14390722_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14390722/ERR14390722_2.fastq.gz
ERR14390793,RCN13585,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14390793/ERR14390793_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14390793/ERR14390793_2.fastq.gz
ERR14390794,RCN13585,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14390794/ERR14390794_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14390794/ERR14390794_2.fastq.gz
